month,day,temp,RH,area
jul,thu,30.2,25,2.75
aug,sun,23.4,40,1.29
aug,sun,33.1,25,26.43
aug,mon,30.6,28,2.07
aug,tue,24.1,43,2.0
aug,tue,26.4,34,16.4
aug,tue,19.4,71,46.7
aug,fri,27.5,29,43.32
aug,sat,30.8,30,8.59
aug,mon,32.6,26,2.77
aug,tue,32.3,27,14.68
aug,tue,33.3,26,40.54
aug,tue,27.3,63,10.82
aug,wed,29.2,30,1.95
aug,wed,28.9,29,49.59
aug,thu,26.7,35,5.8
aug,fri,21.1,71,2.17
aug,fri,18.2,62,0.43
aug,sun,27.8,32,6.44
aug,sun,21.9,71,54.29
aug,sun,21.2,70,11.16
